,SpecGen,daytype_code,daypart_code,dataper_code,Volume,Counts,day_type,day_part,data_period
0,Airport,0,0,1,66955.51780820465,842716,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
1,BYU,0,0,1,56596.87671231906,712340,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
2,ENSIGN,0,0,1,3777.6273972603803,47546,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
3,Lagoon,0,0,1,9743.205479452277,122630,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
4,SLCC_AIRP,0,0,1,11649.180821918097,146619,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
5,SLCC_HM,0,0,1,3433.3616438356808,43213,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
6,SLCC_JD,0,0,1,4101.5534246576535,51623,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
7,SLCC_LB,0,0,1,3976.0191780822897,50043,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
8,SLCC_MAIN,0,0,1,12317.4520547949,155030,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
9,SLCC_MEAD,0,0,1,2253.180821917797,28359,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
10,SLCC_ML,0,0,1,5691.865753424852,71639,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
11,SLCC_SC,0,0,1,8317.59726027403,104687,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
12,SLCC_WEST,0,0,1,3717.243835616523,46786,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
13,SLCC_WVC,0,0,1,19147.627397260436,240996,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
14,SLC_Library,0,0,1,2292.032876712335,28848,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
15,TempleSquare,0,0,1,13462.117808219491,169437,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
16,UOFU_MAIN,0,0,1,39088.663013695244,491978,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
17,UOFU_MED,0,0,1,31443.230136986025,395751,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
18,UOFU_SAND,0,0,1,14354.523287671547,180669,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
19,USU_BRIG,0,0,1,4369.704109589135,54998,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
20,USU_KAY,0,0,1,7397.621917808263,93108,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
21,USU_OREM,0,0,1,5952.865753424726,74924,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
22,USU_SL,0,0,1,12439.967123287885,156572,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
23,UVU_GENEVA,0,0,1,10353.794520548438,130315,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
24,UVU_MAIN,0,0,1,29791.739726026724,374965,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
25,UVU_PAYSON,0,0,1,648.5671232876663,8163,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
26,UVU_THANKP,0,0,1,4193.638356164505,52782,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
27,UVU_VINE,0,0,1,367.3863013698615,4624,0: All Days (Mo-Su),0: All Day (12am-12am),1. All year
