,SpecGen,daytype_code,daypart_code,dataper_code,Volume,Counts,day_type,day_part,data_period
99,Airport,0,1,1,6698.364383561634,84307,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
100,BYU,0,1,1,1056.7917808219,13301,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
101,ENSIGN,0,1,1,96.9315068493147,1220,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
102,Lagoon,0,1,1,74.36712328767122,936,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
103,SLCC_AIRP,0,1,1,1125.0410958904008,14160,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
104,SLCC_HM,0,1,1,85.80821917808204,1080,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
105,SLCC_JD,0,1,1,69.20273972602736,871,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
106,SLCC_LB,0,1,1,98.28219178082135,1237,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
107,SLCC_MAIN,0,1,1,264.01917808219287,3323,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
108,SLCC_MEAD,0,1,1,76.83013698630127,967,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
109,SLCC_ML,0,1,1,196.2465753424668,2470,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
110,SLCC_SC,0,1,1,249.95616438356276,3146,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
111,SLCC_WEST,0,1,1,452.161643835615,5691,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
112,SLCC_WVC,0,1,1,321.6219178082186,4048,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
113,SLC_Library,0,1,1,27.569863013698523,347,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
114,TempleSquare,0,1,1,460.02739726027113,5790,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
115,UOFU_MAIN,0,1,1,844.1780821917612,10625,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
116,UOFU_MED,0,1,1,2016.3342465752658,25378,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
117,UOFU_SAND,0,1,1,125.21643835616372,1576,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
118,USU_BRIG,0,1,1,155.48767123287664,1957,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
119,USU_KAY,0,1,1,97.09041095890377,1222,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
120,USU_OREM,0,1,1,139.19999999999976,1752,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
121,USU_SL,0,1,1,722.9342465753363,9099,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
122,UVU_GENEVA,0,1,1,478.93698630136527,6028,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
123,UVU_MAIN,0,1,1,415.0575342465707,5224,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
124,UVU_PAYSON,0,1,1,18.750684931506854,236,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
125,UVU_THANKP,0,1,1,74.6849315068493,940,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
126,UVU_VINE,0,1,1,32.17808219178079,405,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
127,WESTMIN,0,1,1,97.24931506849279,1224,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
128,WSU_DAVIS,0,1,1,417.4410958904092,5254,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
129,WSU_FARM,0,1,1,412.43561643835346,5191,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
130,WSU_MAIN,0,1,1,276.4931506849329,3480,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
131,WSU_WEST,0,1,1,221.19452054794556,2784,0: All Days (Mo-Su),1: Early AM (12am-6am),1. All year
132,Airport,1,1,1,6746.471337579807,36524,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
133,BYU,1,1,1,1142.4522292993433,6185,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
134,ENSIGN,1,1,1,126.71337579617841,686,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
135,Lagoon,1,1,1,53.197452229299394,288,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
136,SLCC_AIRP,1,1,1,1548.8216560509522,8385,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
137,SLCC_HM,1,1,1,88.84713375796184,481,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
138,SLCC_JD,1,1,1,102.33121019108286,554,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
139,SLCC_LB,1,1,1,98.26751592356695,532,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
140,SLCC_MAIN,1,1,1,298.86624203821503,1618,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
141,SLCC_MEAD,1,1,1,93.28025477707013,505,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
142,SLCC_ML,1,1,1,273.00636942675163,1478,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
143,SLCC_SC,1,1,1,274.4840764331205,1486,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
144,SLCC_WEST,1,1,1,654.2547770700583,3542,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
145,SLCC_WVC,1,1,1,334.5159235668771,1811,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
146,SLC_Library,1,1,1,24.936305732484097,135,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
147,TempleSquare,1,1,1,588.496815286618,3186,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
148,UOFU_MAIN,1,1,1,1046.4012738853196,5665,1: Weekday (Tu-Th),1: Early AM (12am-6am),1. All year
